Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_interior.started,enc_practice_feedback_interior.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,enc_trial_key.rt,enc_fx_key.rt,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,12.497150899842381,None,right,0.5019802001770586,22.424839099869132,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
,,,,,,,,,,,,,,,,,,,,,,,,,,,22.424839099869132,None,22.991543699987233,None,right,4.351795499911532,22.991543699987233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.974892099853605,None,22.991543699987233,None,27.39164389995858,None,28.89166760002263,None,28.89166760002263,None,right,0.724184500053525,33.87511799996719,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.87511799996719,None,34.625102299964055,None,34.625102299964055,None,right,11.486758699873462,39.60857359995134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.60857359995134,None,51.12550839991309,None,right,0.3703214998822659,56.10892829997465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/166a.jpg,-300.0,0.0,1500,Encoding,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.10892829997465,None,56.508992299903184,None,57.508987199980766,None,57.508987199980766,None,None,57.508987199980766,None,59.059034399921075,None,59.059034399921075,None,None,59.059034399921075,None,62.0757865998894,None,62.0757865998894,None,62.0757865998894,None,,,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,300.0,0.0,500,Encoding,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.025766799924895,None,63.025766799924895,None,None,63.025766799924895,None,63.55912889982574,None,63.55912889982574,None,j,63.55912889982574,None,66.5591521000024,None,66.5591521000024,None,66.5591521000024,None,0.8157830000855029,,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
EncodingPractice,-,-,1,stimuli/fractals/149a.jpg,300.0,0.0,1000,Encoding,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.54255349980667,None,67.54255349980667,None,None,67.54255349980667,None,68.55917789996602,None,68.55917789996602,None,None,68.55917789996602,None,71.57603889983147,None,71.57603889983147,None,71.57603889983147,None,,,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,212.1320344,212.1320344,1000,Encoding,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.55936179985292,None,72.55936179985292,None,None,72.55936179985292,None,73.57607729989104,None,73.57607729989104,None,j,73.57607729989104,None,76.59274909994565,None,76.59274909994565,None,76.59274909994565,None,0.7987430000212044,,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,0.0,300.0,5000,Encoding,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.57611689995974,None,77.57611689995974,None,f,77.57611689995974,None,82.60954490001313,None,82.60954490001313,None,None,82.60954490001313,None,85.60961449984461,None,85.60961449984461,None,85.60961449984461,None,,0.7912295002024621,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
EncodingPractice,OBJ,LURE,1,stimuli/fractals/177b.jpg,300.0,0.0,800,Encoding,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.59298829990439,None,86.59298829990439,None,None,86.59298829990439,None,87.42634449992329,None,87.42634449992329,None,j,87.42634449992329,None,90.44311539991759,None,90.44311539991759,None,90.44311539991759,None,0.47664719983004034,,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
EncodingPractice,-,-,1,stimuli/fractals/181c.jpg,-300.0,0.0,3000,Encoding,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.40971239982173,None,91.40971239982173,None,None,91.40971239982173,None,94.44311909982935,None,94.44311909982935,None,j,94.44311909982935,None,97.45994669990614,None,97.45994669990614,None,97.45994669990614,None,0.5001040000934154,,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
EncodingPractice,-,-,1,stimuli/fractals/163a.jpg,300.0,0.0,800,Encoding,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.42656769999303,None,98.42656769999303,None,None,98.42656769999303,None,99.24324460001662,None,99.24324460001662,None,None,99.24324460001662,None,102.26000469992869,None,102.26000469992869,None,102.26000469992869,None,,,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
EncodingPractice,LOC,TARGET,1,stimuli/fractals/166a.jpg,-300.0,0.0,1500,Encoding,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.24336580000818,None,103.24336580000818,None,None,103.24336580000818,None,104.7600897999946,None,104.7600897999946,None,j,104.7600897999946,None,107.77679769997485,None,107.77679769997485,None,107.77679769997485,None,0.4551176999229938,,i,i,1,1,1,2020_Jun_04_1206,TRK-online,2020.1.3,60.01640842934933,
