Task,TrialType,StimType,CurrentImage,DemoImage,CurrentX,CurrentY,DemoX,DemoY,InPractice,DemoText,Jitter,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,comprehension_questions_3.thisRepN,comprehension_questions_3.thisTrialN,comprehension_questions_3.thisN,comprehension_questions_3.thisIndex,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,rec_practice_blocks.thisRepN,rec_practice_blocks.thisTrialN,rec_practice_blocks.thisN,rec_practice_blocks.thisIndex,rec_practice_trials.thisRepN,rec_practice_trials.thisTrialN,rec_practice_trials.thisN,rec_practice_trials.thisIndex,TrialIndex,BlockNr,Filler,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,inter_task_break_continue.started,inter_task_break_continue.stopped,inter_task_break_text.started,inter_task_break_text.stopped,inter_task_break_key.keys,inter_task_break_key.rt,inter_task_break_key.started,inter_task_break_key.stopped,start_recognition_text.started,start_recognition_text.stopped,rec_instructions_1_text.started,rec_instructions_1_text.stopped,rec_instructions_1_key.keys,rec_instructions_1_key.rt,rec_instructions_1_key.started,rec_instructions_1_key.stopped,rec_instructions_1_continue.started,rec_instructions_1_continue.stopped,rec_instructions2_text.started,rec_instructions2_text.stopped,rec_instructions_2_key.keys,rec_instructions_2_key.rt,rec_instructions_2_key.started,rec_instructions_2_key.stopped,rec_instructions_2_continue.started,rec_instructions_2_continue.stopped,rec_instruction_2_title.started,rec_instruction_2_title.stopped,rec_instrauction_3_text.started,rec_instrauction_3_text.stopped,rec_instructions_3_key.keys,rec_instructions_3_key.rt,rec_instructions_3_key.started,rec_instructions_3_key.stopped,rec_instructions_3_continue.started,rec_instructions_3_continue.stopped,rec_instruction_3_title.started,rec_instruction_3_title.stopped,rec_instructions_4_text.started,rec_instructions_4_text.stopped,rec_instructions_4_key.keys,rec_instructions_4_key.rt,rec_instructions_4_key.started,rec_instructions_4_key.stopped,rec_instructions_4_continue.started,rec_instructions_4_continue.stopped,demo_start_text.started,demo_start_text.stopped,demo_interior.started,demo_interior.stopped,demo_main_image.started,demo_main_image.stopped,demo_image.started,demo_image.stopped,demo_text.started,demo_text.stopped,demo_key.keys,demo_key.rt,demo_key.started,demo_key.stopped,demo_continue.started,demo_continue.stopped,demo_end_text.started,demo_end_text.stopped,demo_end_key.keys,demo_end_key.rt,demo_end_key.started,demo_end_key.stopped,demo_end_continue.started,demo_end_continue.stopped,rec_practice_block_text.started,rec_practice_block_text.stopped,rec_fx_interior.started,rec_fx_interior.stopped,rec_fx_cross.started,rec_fx_cross.stopped,rec_fx_key.keys,rec_fx_key.started,rec_fx_key.stopped,rec_fx_text_block.started,rec_fx_text_block.stopped,rec_fx_instructions_text.started,rec_fx_instructions_text.stopped,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.07502690004185,None,right,208.1559776000213,26.999480600003153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.999480600003153,None,235.22088789986446,None,right,0.3347172001376748,235.22088789986446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,235.22088789986446,None,235.58757219999097,None,237.08765479992144,None,237.08765479992144,None,right,0.46838270011357963,242.07109469990246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.07109469990246,None,242.55439989990555,None,242.55439989990555,None,right,0.4335867001209408,247.53784759994596,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.53784759994596,None,247.98787730000913,None,right,1.2479492998681962,252.9713669999037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.9713669999037,None,254.23796899989247,None,255.23801689990796,None,right,1.3098973999731243,256.2213844000362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.2213844000362,None,262.5381962999236,None,257.5547523999121,None,right,0.497103399829939,262.5381962999236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.0548787000589,None,265.0549159999937,None,right,0.6209184001199901,270.0383573998697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0383573998697,None,270.68838389986195,None,right,0.4994950001128018,275.6718238000758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.6718238000758,None,270.68838389986195,None,276.1884735999629,None,right,0.0473429998382926,281.1719454000704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.1719454000704,None,276.1884735999629,None,281.23862319998443,None,right,0.6293681000825018,282.22193629993126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,OBJ,TARGET,stimuli/fractals/177b.jpg,None,-375,-75,None,None,None,Régi Kép,1100,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.22193629993126,None,282.8719834999647,None,284.4387018000707,None,284.4387018000707,None,284.4387018000707,None,284.4387018000707,None,right,2.2854631999507546,286.422053999966,None,286.422053999966,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,OBJ,LURE,stimuli/fractals/177c.jpg,None,-375,-75,None,None,None,Új Kép,1800,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.77212899993174,None,288.77212899993174,None,288.77212899993174,None,288.77212899993174,None,right,1.616787000093609,290.7554885998834,None,290.7554885998834,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,OBJ,TARGET,stimuli/fractals/167a.jpg,None,-375,-75,None,None,None,Régi Kép,1000,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.4055657000281,None,292.4055657000281,None,292.4055657000281,None,292.4055657000281,None,right,0.6063864999450743,294.3888856000267,None,294.3888856000267,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,OBJ,LURE,stimuli/fractals/167b.jpg,None,-375,-75,None,None,None,Új Kép,2300,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.0389312999323,None,295.0389312999323,None,295.0389312999323,None,295.0389312999323,None,right,1.1089741999749094,297.022308900021,None,297.022308900021,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,OBJ,TARGET,stimuli/fractals/163a.jpg,None,-375,-75,None,None,None,Régi Kép,800,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.172318500001,None,298.172318500001,None,298.172318500001,None,298.172318500001,None,right,0.9275708999484777,300.15572390006855,None,300.15572390006855,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,OBJ,FOIL,stimuli/fractals/173c.jpg,None,-375,-75,None,None,None,Új Kép,1500,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.12242809985764,None,301.12242809985764,None,301.12242809985764,None,301.12242809985764,None,right,0.4894172002095729,303.1058129000012,None,303.1058129000012,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,LOC,TARGET,stimuli/fractals/166a.jpg,None,-75,225,None,None,None,Régi Hely,800,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.6391568998806,None,303.6391568998806,None,303.6391568998806,None,303.6391568998806,None,right,0.15673739998601377,305.6225143999327,None,305.6225143999327,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,LOC,LURE,stimuli/fractals/166a.jpg,None,-225,225,None,None,None,Új Hely,1500,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.8225167999044,None,305.8225167999044,None,305.8225167999044,None,305.8225167999044,None,right,0.46157060004770756,307.8058710000478,None,307.8058710000478,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,LOC,TARGET,stimuli/fractals/159a.jpg,None,-375,225,None,None,None,Régi Hely,800,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.3225618000142,None,308.3225618000142,None,308.3225618000142,None,308.3225618000142,None,right,0.4893355998210609,310.3059399998747,None,310.3059399998747,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,LOC,LURE,stimuli/fractals/159a.jpg,None,-375,375,None,None,None,Új Hely,800,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.8559260000475,None,310.8559260000475,None,310.8559260000475,None,310.8559260000475,None,right,1.5399053997825831,312.83934479998425,None,312.83934479998425,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,LOC,TARGET,stimuli/fractals/177b.jpg,None,-375,225,None,None,None,Régi Hely,1200,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.4394191999454,None,314.4394191999454,None,314.4394191999454,None,314.4394191999454,None,right,0.05260040005668998,316.4227517999243,None,316.4227517999243,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,LOC,FOIL,stimuli/fractals/177b.jpg,None,-75,-225,None,None,None,Új Hely,1000,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.5394435999915,None,316.5394435999915,None,316.5394435999915,None,316.5394435999915,None,right,0.5444829000625759,318.5227874000557,None,318.5227874000557,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,LOC,TARGET,stimuli/fractals/148b.jpg,None,225,-75,None,None,None,Régi Hely,1500,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.1228740999941,None,319.1228740999941,None,319.1228740999941,None,319.1228740999941,None,right,0.8018749000038952,321.08955359994434,None,321.08955359994434,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
Demo,LOC,FOIL,stimuli/fractals/148b.jpg,None,-75,375,None,None,None,Új Hely,800,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.939558000071,None,321.939558000071,None,321.939558000071,None,321.939558000071,None,right,1.904381199972704,323.9229287998751,None,323.9229287998751,None,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.856292600045,None,right,1.0678123999387026,326.8396674999967,None,,,,,,,,,,,,,,,,i,i,f,24,17,2020_Jun_23_1354,TRK-online,2020.1.3,60.00088796402345,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.9396710000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.8396674999967,None,328.93968890002,None,329.939720349852,None,329.939720349852,None,None,329.939720349852,None,329.939720349852,None,329.939720349852,None,,,,,,,,,,
