TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1,OLP,1,3,1,Stimuli/Fractals/118a.jpg,Stimuli/Fractals/118c.jpg,Stimuli/Fractals/118b.jpg,212.1320344,212.1320344,0,300,300,0,-212.1320344,-212.1320344
2,OLP,1,3,1,Stimuli/Fractals/119c.jpg,Stimuli/Fractals/119a.jpg,Stimuli/Fractals/119b.jpg,212.1320344,-212.1320344,0,-300,300,0,-212.1320344,212.1320344
3,LLP,1,5,1,Stimuli/Fractals/135b.jpg,Stimuli/Fractals/135a.jpg,Stimuli/Fractals/135c.jpg,212.1320344,212.1320344,300,0,0,300,-212.1320344,-212.1320344
4,ERP,1,2,1,Stimuli/Fractals/13a.jpg,Stimuli/Fractals/13b.jpg,Stimuli/Fractals/13c.jpg,212.1320344,-212.1320344,300,0,0,-300,-300,0
5,OLP,2,0,1,Stimuli/Fractals/118a.jpg,Stimuli/Fractals/118c.jpg,Stimuli/Fractals/118b.jpg,212.1320344,212.1320344,0,300,300,0,-212.1320344,-212.1320344
6,OLP,2,0,1,Stimuli/Fractals/119c.jpg,Stimuli/Fractals/119a.jpg,Stimuli/Fractals/119b.jpg,212.1320344,-212.1320344,0,-300,300,0,-212.1320344,212.1320344
7,ERP,2,0,1,Stimuli/Fractals/13a.jpg,Stimuli/Fractals/13b.jpg,Stimuli/Fractals/13c.jpg,212.1320344,-212.1320344,300,0,0,-300,-300,0
8,ERP,1,5,1,Stimuli/Fractals/58b.jpg,Stimuli/Fractals/58a.jpg,Stimuli/Fractals/58c.jpg,-212.1320344,-212.1320344,-300,0,0,-300,212.1320344,212.1320344
9,LLP,2,0,1,Stimuli/Fractals/135b.jpg,Stimuli/Fractals/135a.jpg,Stimuli/Fractals/135c.jpg,212.1320344,212.1320344,300,0,0,300,-212.1320344,-212.1320344
10,LLP,1,4,1,Stimuli/Fractals/130a.jpg,Stimuli/Fractals/130c.jpg,Stimuli/Fractals/130b.jpg,212.1320344,-212.1320344,300,0,0,-300,-300,0
11,ERP,1,1,1,Stimuli/Fractals/72b.jpg,Stimuli/Fractals/72a.jpg,Stimuli/Fractals/72c.jpg,0,300,-212.1320344,212.1320344,212.1320344,212.1320344,0,-300
12,OLP,1,4,1,Stimuli/Fractals/82c.jpg,Stimuli/Fractals/82b.jpg,Stimuli/Fractals/82a.jpg,-212.1320344,-212.1320344,-300,0,0,-300,212.1320344,212.1320344
13,ERP,2,0,1,Stimuli/Fractals/72b.jpg,Stimuli/Fractals/72a.jpg,Stimuli/Fractals/72c.jpg,0,300,-212.1320344,212.1320344,212.1320344,212.1320344,0,-300
14,ERP,2,0,1,Stimuli/Fractals/58b.jpg,Stimuli/Fractals/58a.jpg,Stimuli/Fractals/58c.jpg,-212.1320344,-212.1320344,-300,0,0,-300,212.1320344,212.1320344
15,LLP,2,0,1,Stimuli/Fractals/130a.jpg,Stimuli/Fractals/130c.jpg,Stimuli/Fractals/130b.jpg,212.1320344,-212.1320344,300,0,0,-300,-300,0
16,LLP,1,2,1,Stimuli/Fractals/40c.jpg,Stimuli/Fractals/40a.jpg,Stimuli/Fractals/40b.jpg,-212.1320344,-212.1320344,-300,0,0,-300,300,0
17,OLP,2,0,1,Stimuli/Fractals/82c.jpg,Stimuli/Fractals/82b.jpg,Stimuli/Fractals/82a.jpg,-212.1320344,-212.1320344,-300,0,0,-300,212.1320344,212.1320344
18,OLP,1,1,1,Stimuli/Fractals/116b.jpg,Stimuli/Fractals/116a.jpg,Stimuli/Fractals/116c.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
19,LLP,2,0,1,Stimuli/Fractals/40c.jpg,Stimuli/Fractals/40a.jpg,Stimuli/Fractals/40b.jpg,-212.1320344,-212.1320344,-300,0,0,-300,300,0
20,OLP,2,0,1,Stimuli/Fractals/116b.jpg,Stimuli/Fractals/116a.jpg,Stimuli/Fractals/116c.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
21,BL,0,0,1,Stimuli/Fractals/115b.jpg,Stimuli/Fractals/115a.jpg,Stimuli/Fractals/115c.jpg,212.1320344,212.1320344,,,,,,
22,ERP,1,3,1,Stimuli/Fractals/126c.jpg,Stimuli/Fractals/126a.jpg,Stimuli/Fractals/126b.jpg,-300,0,-212.1320344,212.1320344,-212.1320344,-212.1320344,212.1320344,-212.1320344
23,LLP,1,5,1,Stimuli/Fractals/120c.jpg,Stimuli/Fractals/120a.jpg,Stimuli/Fractals/120b.jpg,212.1320344,-212.1320344,0,-300,300,0,0,300
24,ERP,1,2,1,Stimuli/Fractals/56b.jpg,Stimuli/Fractals/56a.jpg,Stimuli/Fractals/56c.jpg,212.1320344,-212.1320344,0,-300,300,0,0,300
25,ERP,1,5,1,Stimuli/Fractals/49c.jpg,Stimuli/Fractals/49b.jpg,Stimuli/Fractals/49a.jpg,-300,0,-212.1320344,-212.1320344,-212.1320344,212.1320344,212.1320344,212.1320344
26,ERP,2,0,1,Stimuli/Fractals/126c.jpg,Stimuli/Fractals/126a.jpg,Stimuli/Fractals/126b.jpg,-300,0,-212.1320344,212.1320344,-212.1320344,-212.1320344,212.1320344,-212.1320344
27,ERP,2,0,1,Stimuli/Fractals/56b.jpg,Stimuli/Fractals/56a.jpg,Stimuli/Fractals/56c.jpg,212.1320344,-212.1320344,0,-300,300,0,0,300
28,OLP,1,3,1,Stimuli/Fractals/88c.jpg,Stimuli/Fractals/88b.jpg,Stimuli/Fractals/88a.jpg,0,-300,212.1320344,-212.1320344,-212.1320344,-212.1320344,0,300
29,LLP,2,0,1,Stimuli/Fractals/120c.jpg,Stimuli/Fractals/120a.jpg,Stimuli/Fractals/120b.jpg,212.1320344,-212.1320344,0,-300,300,0,0,300
30,OLP,1,2,1,Stimuli/Fractals/66c.jpg,Stimuli/Fractals/66b.jpg,Stimuli/Fractals/66a.jpg,300,0,212.1320344,-212.1320344,212.1320344,212.1320344,-212.1320344,212.1320344
31,ERP,2,0,1,Stimuli/Fractals/49c.jpg,Stimuli/Fractals/49b.jpg,Stimuli/Fractals/49a.jpg,-300,0,-212.1320344,-212.1320344,-212.1320344,212.1320344,212.1320344,212.1320344
32,OLP,2,0,1,Stimuli/Fractals/88c.jpg,Stimuli/Fractals/88b.jpg,Stimuli/Fractals/88a.jpg,0,-300,212.1320344,-212.1320344,-212.1320344,-212.1320344,0,300
33,OLP,2,0,1,Stimuli/Fractals/66c.jpg,Stimuli/Fractals/66b.jpg,Stimuli/Fractals/66a.jpg,300,0,212.1320344,-212.1320344,212.1320344,212.1320344,-212.1320344,212.1320344
34,ERP,1,4,1,Stimuli/Fractals/114b.jpg,Stimuli/Fractals/114a.jpg,Stimuli/Fractals/114c.jpg,0,300,-212.1320344,212.1320344,212.1320344,212.1320344,0,-300
35,OLP,1,1,1,Stimuli/Fractals/5c.jpg,Stimuli/Fractals/5a.jpg,Stimuli/Fractals/5b.jpg,-212.1320344,212.1320344,0,300,-300,0,212.1320344,-212.1320344
36,LLP,1,4,1,Stimuli/Fractals/18b.jpg,Stimuli/Fractals/18c.jpg,Stimuli/Fractals/18a.jpg,-212.1320344,212.1320344,0,300,-300,0,212.1320344,-212.1320344
37,OLP,2,0,1,Stimuli/Fractals/5c.jpg,Stimuli/Fractals/5a.jpg,Stimuli/Fractals/5b.jpg,-212.1320344,212.1320344,0,300,-300,0,212.1320344,-212.1320344
38,LLP,1,1,1,Stimuli/Fractals/110c.jpg,Stimuli/Fractals/110a.jpg,Stimuli/Fractals/110b.jpg,212.1320344,-212.1320344,0,-300,300,0,0,300
39,ERP,2,0,1,Stimuli/Fractals/114b.jpg,Stimuli/Fractals/114a.jpg,Stimuli/Fractals/114c.jpg,0,300,-212.1320344,212.1320344,212.1320344,212.1320344,0,-300
40,LLP,2,0,1,Stimuli/Fractals/110c.jpg,Stimuli/Fractals/110a.jpg,Stimuli/Fractals/110b.jpg,212.1320344,-212.1320344,0,-300,300,0,0,300
41,LLP,2,0,1,Stimuli/Fractals/18b.jpg,Stimuli/Fractals/18c.jpg,Stimuli/Fractals/18a.jpg,-212.1320344,212.1320344,0,300,-300,0,212.1320344,-212.1320344
42,BL,0,0,1,Stimuli/Fractals/115b.jpg,Stimuli/Fractals/115a.jpg,Stimuli/Fractals/115c.jpg,212.1320344,212.1320344,,,,,,
43,OLP,1,2,1,Stimuli/Fractals/52c.jpg,Stimuli/Fractals/52b.jpg,Stimuli/Fractals/52a.jpg,0,-300,212.1320344,-212.1320344,-212.1320344,-212.1320344,-212.1320344,212.1320344
44,OLP,1,5,1,Stimuli/Fractals/22b.jpg,Stimuli/Fractals/22c.jpg,Stimuli/Fractals/22a.jpg,-212.1320344,-212.1320344,-300,0,0,-300,212.1320344,212.1320344
45,ERP,1,5,1,Stimuli/Fractals/85b.jpg,Stimuli/Fractals/85a.jpg,Stimuli/Fractals/85c.jpg,-300,0,-212.1320344,-212.1320344,-212.1320344,212.1320344,300,0
46,OLP,2,0,1,Stimuli/Fractals/52c.jpg,Stimuli/Fractals/52b.jpg,Stimuli/Fractals/52a.jpg,0,-300,212.1320344,-212.1320344,-212.1320344,-212.1320344,-212.1320344,212.1320344
47,LLP,1,1,1,Stimuli/Fractals/142b.jpg,Stimuli/Fractals/142a.jpg,Stimuli/Fractals/142c.jpg,0,-300,-212.1320344,-212.1320344,212.1320344,-212.1320344,0,300
48,ERP,1,3,1,Stimuli/Fractals/39a.jpg,Stimuli/Fractals/39c.jpg,Stimuli/Fractals/39b.jpg,-212.1320344,212.1320344,-300,0,0,300,300,0
49,LLP,2,0,1,Stimuli/Fractals/142b.jpg,Stimuli/Fractals/142a.jpg,Stimuli/Fractals/142c.jpg,0,-300,-212.1320344,-212.1320344,212.1320344,-212.1320344,0,300
50,OLP,2,0,1,Stimuli/Fractals/22b.jpg,Stimuli/Fractals/22c.jpg,Stimuli/Fractals/22a.jpg,-212.1320344,-212.1320344,-300,0,0,-300,212.1320344,212.1320344
51,ERP,2,0,1,Stimuli/Fractals/85b.jpg,Stimuli/Fractals/85a.jpg,Stimuli/Fractals/85c.jpg,-300,0,-212.1320344,-212.1320344,-212.1320344,212.1320344,300,0
52,ERP,2,0,1,Stimuli/Fractals/39a.jpg,Stimuli/Fractals/39c.jpg,Stimuli/Fractals/39b.jpg,-212.1320344,212.1320344,-300,0,0,300,300,0
53,OLP,1,1,1,Stimuli/Fractals/96b.jpg,Stimuli/Fractals/96c.jpg,Stimuli/Fractals/96a.jpg,-300,0,-212.1320344,-212.1320344,-212.1320344,212.1320344,212.1320344,212.1320344
54,OLP,1,4,1,Stimuli/Fractals/42c.jpg,Stimuli/Fractals/42b.jpg,Stimuli/Fractals/42a.jpg,300,0,212.1320344,212.1320344,212.1320344,-212.1320344,-212.1320344,-212.1320344
55,OLP,2,0,1,Stimuli/Fractals/96b.jpg,Stimuli/Fractals/96c.jpg,Stimuli/Fractals/96a.jpg,-300,0,-212.1320344,-212.1320344,-212.1320344,212.1320344,212.1320344,212.1320344
56,LLP,1,4,1,Stimuli/Fractals/60a.jpg,Stimuli/Fractals/60b.jpg,Stimuli/Fractals/60c.jpg,212.1320344,-212.1320344,300,0,0,-300,-212.1320344,212.1320344
57,ERP,1,2,1,Stimuli/Fractals/77c.jpg,Stimuli/Fractals/77a.jpg,Stimuli/Fractals/77b.jpg,-212.1320344,-212.1320344,-300,0,0,-300,212.1320344,212.1320344
58,ERP,1,3,1,Stimuli/Fractals/30a.jpg,Stimuli/Fractals/30c.jpg,Stimuli/Fractals/30b.jpg,212.1320344,-212.1320344,0,-300,300,0,0,300
59,OLP,2,0,1,Stimuli/Fractals/42c.jpg,Stimuli/Fractals/42b.jpg,Stimuli/Fractals/42a.jpg,300,0,212.1320344,212.1320344,212.1320344,-212.1320344,-212.1320344,-212.1320344
60,ERP,2,0,1,Stimuli/Fractals/77c.jpg,Stimuli/Fractals/77a.jpg,Stimuli/Fractals/77b.jpg,-212.1320344,-212.1320344,-300,0,0,-300,212.1320344,212.1320344
61,LLP,2,0,1,Stimuli/Fractals/60a.jpg,Stimuli/Fractals/60b.jpg,Stimuli/Fractals/60c.jpg,212.1320344,-212.1320344,300,0,0,-300,-212.1320344,212.1320344
62,ERP,2,0,1,Stimuli/Fractals/30a.jpg,Stimuli/Fractals/30c.jpg,Stimuli/Fractals/30b.jpg,212.1320344,-212.1320344,0,-300,300,0,0,300
63,BL,0,0,1,Stimuli/Fractals/115b.jpg,Stimuli/Fractals/115a.jpg,Stimuli/Fractals/115c.jpg,212.1320344,212.1320344,,,,,,
64,OLP,1,1,1,Stimuli/Fractals/132a.jpg,Stimuli/Fractals/132b.jpg,Stimuli/Fractals/132c.jpg,212.1320344,212.1320344,0,300,300,0,-212.1320344,-212.1320344
65,OLP,1,1,1,Stimuli/Fractals/19c.jpg,Stimuli/Fractals/19a.jpg,Stimuli/Fractals/19b.jpg,212.1320344,212.1320344,0,300,300,0,0,-300
66,OLP,2,0,1,Stimuli/Fractals/132a.jpg,Stimuli/Fractals/132b.jpg,Stimuli/Fractals/132c.jpg,212.1320344,212.1320344,0,300,300,0,-212.1320344,-212.1320344
67,OLP,2,0,1,Stimuli/Fractals/19c.jpg,Stimuli/Fractals/19a.jpg,Stimuli/Fractals/19b.jpg,212.1320344,212.1320344,0,300,300,0,0,-300
68,OLP,1,4,1,Stimuli/Fractals/20c.jpg,Stimuli/Fractals/20b.jpg,Stimuli/Fractals/20a.jpg,300,0,212.1320344,212.1320344,212.1320344,-212.1320344,-300,0
69,LLP,1,2,1,Stimuli/Fractals/24a.jpg,Stimuli/Fractals/24b.jpg,Stimuli/Fractals/24c.jpg,212.1320344,212.1320344,0,300,300,0,0,-300
70,OLP,1,3,1,Stimuli/Fractals/41b.jpg,Stimuli/Fractals/41c.jpg,Stimuli/Fractals/41a.jpg,-212.1320344,212.1320344,0,300,-300,0,0,-300
71,ERP,1,5,1,Stimuli/Fractals/136a.jpg,Stimuli/Fractals/136b.jpg,Stimuli/Fractals/136c.jpg,300,0,212.1320344,212.1320344,212.1320344,-212.1320344,-212.1320344,-212.1320344
72,LLP,2,0,1,Stimuli/Fractals/24a.jpg,Stimuli/Fractals/24b.jpg,Stimuli/Fractals/24c.jpg,212.1320344,212.1320344,0,300,300,0,0,-300
73,OLP,2,0,1,Stimuli/Fractals/20c.jpg,Stimuli/Fractals/20b.jpg,Stimuli/Fractals/20a.jpg,300,0,212.1320344,212.1320344,212.1320344,-212.1320344,-300,0
74,OLP,2,0,1,Stimuli/Fractals/41b.jpg,Stimuli/Fractals/41c.jpg,Stimuli/Fractals/41a.jpg,-212.1320344,212.1320344,0,300,-300,0,0,-300
75,LLP,1,5,1,Stimuli/Fractals/21b.jpg,Stimuli/Fractals/21c.jpg,Stimuli/Fractals/21a.jpg,-212.1320344,-212.1320344,-300,0,0,-300,300,0
76,OLP,1,3,1,Stimuli/Fractals/11c.jpg,Stimuli/Fractals/11b.jpg,Stimuli/Fractals/11a.jpg,-300,0,-212.1320344,212.1320344,-212.1320344,-212.1320344,300,0
77,ERP,2,0,1,Stimuli/Fractals/136a.jpg,Stimuli/Fractals/136b.jpg,Stimuli/Fractals/136c.jpg,300,0,212.1320344,212.1320344,212.1320344,-212.1320344,-212.1320344,-212.1320344
78,OLP,1,4,1,Stimuli/Fractals/94a.jpg,Stimuli/Fractals/94b.jpg,Stimuli/Fractals/94c.jpg,212.1320344,212.1320344,0,300,300,0,0,-300
79,ERP,1,2,1,Stimuli/Fractals/111c.jpg,Stimuli/Fractals/111b.jpg,Stimuli/Fractals/111a.jpg,-300,0,-212.1320344,212.1320344,-212.1320344,-212.1320344,300,0
80,OLP,2,0,1,Stimuli/Fractals/11c.jpg,Stimuli/Fractals/11b.jpg,Stimuli/Fractals/11a.jpg,-300,0,-212.1320344,212.1320344,-212.1320344,-212.1320344,300,0
81,LLP,2,0,1,Stimuli/Fractals/21b.jpg,Stimuli/Fractals/21c.jpg,Stimuli/Fractals/21a.jpg,-212.1320344,-212.1320344,-300,0,0,-300,300,0
82,ERP,2,0,1,Stimuli/Fractals/111c.jpg,Stimuli/Fractals/111b.jpg,Stimuli/Fractals/111a.jpg,-300,0,-212.1320344,212.1320344,-212.1320344,-212.1320344,300,0
83,OLP,2,0,1,Stimuli/Fractals/94a.jpg,Stimuli/Fractals/94b.jpg,Stimuli/Fractals/94c.jpg,212.1320344,212.1320344,0,300,300,0,0,-300
84,BL,0,0,1,Stimuli/Fractals/115b.jpg,Stimuli/Fractals/115a.jpg,Stimuli/Fractals/115c.jpg,212.1320344,212.1320344,,,,,,
85,LLP,1,1,2,Stimuli/Fractals/108c.jpg,Stimuli/Fractals/108a.jpg,Stimuli/Fractals/108b.jpg,0,300,-212.1320344,212.1320344,212.1320344,212.1320344,0,-300
86,OLP,1,2,2,Stimuli/Fractals/87a.jpg,Stimuli/Fractals/87b.jpg,Stimuli/Fractals/87c.jpg,0,-300,212.1320344,-212.1320344,-212.1320344,-212.1320344,-212.1320344,212.1320344
87,LLP,2,0,2,Stimuli/Fractals/108c.jpg,Stimuli/Fractals/108a.jpg,Stimuli/Fractals/108b.jpg,0,300,-212.1320344,212.1320344,212.1320344,212.1320344,0,-300
88,OLP,1,1,2,Stimuli/Fractals/122b.jpg,Stimuli/Fractals/122a.jpg,Stimuli/Fractals/122c.jpg,300,0,212.1320344,212.1320344,212.1320344,-212.1320344,-300,0
89,OLP,2,0,2,Stimuli/Fractals/87a.jpg,Stimuli/Fractals/87b.jpg,Stimuli/Fractals/87c.jpg,0,-300,212.1320344,-212.1320344,-212.1320344,-212.1320344,-212.1320344,212.1320344
90,OLP,2,0,2,Stimuli/Fractals/122b.jpg,Stimuli/Fractals/122a.jpg,Stimuli/Fractals/122c.jpg,300,0,212.1320344,212.1320344,212.1320344,-212.1320344,-300,0
91,ERP,1,3,2,Stimuli/Fractals/26c.jpg,Stimuli/Fractals/26a.jpg,Stimuli/Fractals/26b.jpg,212.1320344,212.1320344,0,300,300,0,-212.1320344,-212.1320344
92,ERP,1,3,2,Stimuli/Fractals/73c.jpg,Stimuli/Fractals/73a.jpg,Stimuli/Fractals/73b.jpg,0,-300,-212.1320344,-212.1320344,212.1320344,-212.1320344,0,300
93,OLP,1,5,2,Stimuli/Fractals/139a.jpg,Stimuli/Fractals/139c.jpg,Stimuli/Fractals/139b.jpg,0,300,-212.1320344,212.1320344,212.1320344,212.1320344,0,-300
94,LLP,1,5,2,Stimuli/Fractals/140a.jpg,Stimuli/Fractals/140b.jpg,Stimuli/Fractals/140c.jpg,212.1320344,-212.1320344,0,-300,300,0,0,300
95,ERP,2,0,2,Stimuli/Fractals/26c.jpg,Stimuli/Fractals/26a.jpg,Stimuli/Fractals/26b.jpg,212.1320344,212.1320344,0,300,300,0,-212.1320344,-212.1320344
96,ERP,2,0,2,Stimuli/Fractals/73c.jpg,Stimuli/Fractals/73a.jpg,Stimuli/Fractals/73b.jpg,0,-300,-212.1320344,-212.1320344,212.1320344,-212.1320344,0,300
97,LLP,1,4,2,Stimuli/Fractals/107a.jpg,Stimuli/Fractals/107b.jpg,Stimuli/Fractals/107c.jpg,-212.1320344,212.1320344,-300,0,0,300,300,0
98,ERP,1,4,2,Stimuli/Fractals/102a.jpg,Stimuli/Fractals/102b.jpg,Stimuli/Fractals/102c.jpg,212.1320344,-212.1320344,0,-300,300,0,0,300
99,OLP,2,0,2,Stimuli/Fractals/139a.jpg,Stimuli/Fractals/139c.jpg,Stimuli/Fractals/139b.jpg,0,300,-212.1320344,212.1320344,212.1320344,212.1320344,0,-300
100,LLP,2,0,2,Stimuli/Fractals/140a.jpg,Stimuli/Fractals/140b.jpg,Stimuli/Fractals/140c.jpg,212.1320344,-212.1320344,0,-300,300,0,0,300
101,LLP,1,2,2,Stimuli/Fractals/23c.jpg,Stimuli/Fractals/23b.jpg,Stimuli/Fractals/23a.jpg,-212.1320344,212.1320344,-300,0,0,300,300,0
102,LLP,2,0,2,Stimuli/Fractals/107a.jpg,Stimuli/Fractals/107b.jpg,Stimuli/Fractals/107c.jpg,-212.1320344,212.1320344,-300,0,0,300,300,0
103,ERP,2,0,2,Stimuli/Fractals/102a.jpg,Stimuli/Fractals/102b.jpg,Stimuli/Fractals/102c.jpg,212.1320344,-212.1320344,0,-300,300,0,0,300
104,LLP,2,0,2,Stimuli/Fractals/23c.jpg,Stimuli/Fractals/23b.jpg,Stimuli/Fractals/23a.jpg,-212.1320344,212.1320344,-300,0,0,300,300,0
105,BL,0,0,2,Stimuli/Fractals/115b.jpg,Stimuli/Fractals/115a.jpg,Stimuli/Fractals/115c.jpg,212.1320344,212.1320344,,,,,,
106,ERP,1,4,2,Stimuli/Fractals/64b.jpg,Stimuli/Fractals/64a.jpg,Stimuli/Fractals/64c.jpg,-300,0,-212.1320344,212.1320344,-212.1320344,-212.1320344,212.1320344,-212.1320344
107,OLP,1,5,2,Stimuli/Fractals/16a.jpg,Stimuli/Fractals/16b.jpg,Stimuli/Fractals/16c.jpg,0,-300,212.1320344,-212.1320344,-212.1320344,-212.1320344,0,300
108,LLP,1,5,2,Stimuli/Fractals/51c.jpg,Stimuli/Fractals/51b.jpg,Stimuli/Fractals/51a.jpg,-212.1320344,-212.1320344,-300,0,0,-300,212.1320344,212.1320344
109,OLP,1,2,2,Stimuli/Fractals/28a.jpg,Stimuli/Fractals/28b.jpg,Stimuli/Fractals/28c.jpg,-300,0,-212.1320344,-212.1320344,-212.1320344,212.1320344,300,0
110,ERP,1,4,2,Stimuli/Fractals/109c.jpg,Stimuli/Fractals/109a.jpg,Stimuli/Fractals/109b.jpg,300,0,212.1320344,212.1320344,212.1320344,-212.1320344,-300,0
111,ERP,2,0,2,Stimuli/Fractals/64b.jpg,Stimuli/Fractals/64a.jpg,Stimuli/Fractals/64c.jpg,-300,0,-212.1320344,212.1320344,-212.1320344,-212.1320344,212.1320344,-212.1320344
112,OLP,2,0,2,Stimuli/Fractals/28a.jpg,Stimuli/Fractals/28b.jpg,Stimuli/Fractals/28c.jpg,-300,0,-212.1320344,-212.1320344,-212.1320344,212.1320344,300,0
113,OLP,2,0,2,Stimuli/Fractals/16a.jpg,Stimuli/Fractals/16b.jpg,Stimuli/Fractals/16c.jpg,0,-300,212.1320344,-212.1320344,-212.1320344,-212.1320344,0,300
114,LLP,2,0,2,Stimuli/Fractals/51c.jpg,Stimuli/Fractals/51b.jpg,Stimuli/Fractals/51a.jpg,-212.1320344,-212.1320344,-300,0,0,-300,212.1320344,212.1320344
115,ERP,2,0,2,Stimuli/Fractals/109c.jpg,Stimuli/Fractals/109a.jpg,Stimuli/Fractals/109b.jpg,300,0,212.1320344,212.1320344,212.1320344,-212.1320344,-300,0
116,ERP,1,3,2,Stimuli/Fractals/112c.jpg,Stimuli/Fractals/112a.jpg,Stimuli/Fractals/112b.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
117,LLP,1,1,2,Stimuli/Fractals/138c.jpg,Stimuli/Fractals/138a.jpg,Stimuli/Fractals/138b.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,-212.1320344,-212.1320344
118,LLP,1,3,2,Stimuli/Fractals/6a.jpg,Stimuli/Fractals/6b.jpg,Stimuli/Fractals/6c.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
119,LLP,2,0,2,Stimuli/Fractals/138c.jpg,Stimuli/Fractals/138a.jpg,Stimuli/Fractals/138b.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,-212.1320344,-212.1320344
120,ERP,2,0,2,Stimuli/Fractals/112c.jpg,Stimuli/Fractals/112a.jpg,Stimuli/Fractals/112b.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
121,LLP,1,2,2,Stimuli/Fractals/62a.jpg,Stimuli/Fractals/62b.jpg,Stimuli/Fractals/62c.jpg,0,-300,-212.1320344,-212.1320344,212.1320344,-212.1320344,212.1320344,212.1320344
122,LLP,2,0,2,Stimuli/Fractals/6a.jpg,Stimuli/Fractals/6b.jpg,Stimuli/Fractals/6c.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
123,ERP,1,1,2,Stimuli/Fractals/101c.jpg,Stimuli/Fractals/101a.jpg,Stimuli/Fractals/101b.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
124,LLP,2,0,2,Stimuli/Fractals/62a.jpg,Stimuli/Fractals/62b.jpg,Stimuli/Fractals/62c.jpg,0,-300,-212.1320344,-212.1320344,212.1320344,-212.1320344,212.1320344,212.1320344
125,ERP,2,0,2,Stimuli/Fractals/101c.jpg,Stimuli/Fractals/101a.jpg,Stimuli/Fractals/101b.jpg,0,300,212.1320344,212.1320344,-212.1320344,212.1320344,0,-300
126,BL,0,0,2,Stimuli/Fractals/115b.jpg,Stimuli/Fractals/115a.jpg,Stimuli/Fractals/115c.jpg,212.1320344,212.1320344,,,,,,
127,ERP,1,1,2,Stimuli/Fractals/105c.jpg,Stimuli/Fractals/105a.jpg,Stimuli/Fractals/105b.jpg,-212.1320344,212.1320344,0,300,-300,0,0,-300
